relwnS	nwS	lmod	dur
0.133333333333333	15	Line 1	207.048
0.133333333333333	15	Line 2	211.194915254237
0.133333333333333	15	Line 3	207.4
0.133333333333333	15	Line 4	223.507936507937
0.133333333333333	15	Line 5	214.338709677419
0.142857142857143	14	Line 1	208.962962962963
0.142857142857143	14	Line 2	215.870967741935
0.142857142857143	14	Line 3	207.21875
0.142857142857143	14	Line 4	204.746987951807
0.142857142857143	14	Line 5	213.45
0.153846153846154	13	Line 1	192.322580645161
0.153846153846154	13	Line 2	209.0125
0.153846153846154	13	Line 3	219.274193548387
0.153846153846154	13	Line 4	195.490566037736
0.153846153846154	13	Line 5	193.411764705882
0.166666666666667	12	Line 1	202.557377049180
0.166666666666667	12	Line 2	204.318681318681
0.166666666666667	12	Line 3	215.543209876543
0.166666666666667	12	Line 4	205.421052631579
0.166666666666667	12	Line 5	231.628571428571
0.181818181818182	11	Line 1	202.101694915254
0.181818181818182	11	Line 2	222.358974358974
0.181818181818182	11	Line 3	209
0.181818181818182	11	Line 4	182.176470588235
0.181818181818182	11	Line 5	251.489795918367
0.2	10	Line 1	192.432989690722
0.2	10	Line 2	223.940594059406
0.2	10	Line 3	208.487804878049
0.2	10	Line 4	215.015384615385
0.2	10	Line 5	218.725490196078
0.2	15	Line 1	197.037037037037
0.2	15	Line 2	201.104651162791
0.2	15	Line 3	193.578313253012
0.2	15	Line 4	182.081632653061
0.2	15	Line 5	215.796875
0.214285714285714	14	Line 1	186.266666666667
0.214285714285714	14	Line 2	211
0.214285714285714	14	Line 3	212.707692307692
0.214285714285714	14	Line 4	197.109375
0.214285714285714	14	Line 5	219.787878787879
0.222222222222222	9	Line 1	211.020833333333
0.222222222222222	9	Line 2	219.316666666667
0.222222222222222	9	Line 3	208.245283018868
0.222222222222222	9	Line 4	204.509803921569
0.222222222222222	9	Line 5	218.288888888889
0.230769230769231	13	Line 1	183.631578947368
0.230769230769231	13	Line 2	191.809523809524
0.230769230769231	13	Line 3	199.916666666667
0.230769230769231	13	Line 4	188.661290322581
0.230769230769231	13	Line 5	228
0.25	8	Line 1	210.122448979592
0.25	8	Line 2	207.09375
0.25	8	Line 3	221.236111111111
0.25	8	Line 4	201.418181818182
0.25	8	Line 5	205.060606060606
0.25	12	Line 1	200.484375
0.25	12	Line 2	204.09900990099
0.25	12	Line 3	202.988235294118
0.25	12	Line 4	203.894117647059
0.25	12	Line 5	204.84375
0.266666666666667	15	Line 1	210.181818181818
0.266666666666667	15	Line 2	204.025423728814
0.266666666666667	15	Line 3	214.305882352941
0.266666666666667	15	Line 4	219.484375
0.266666666666667	15	Line 5	225.086206896552
0.272727272727273	11	Line 1	191.312
0.272727272727273	11	Line 2	228.241379310345
0.272727272727273	11	Line 3	204.909090909091
0.272727272727273	11	Line 4	191.106382978723
0.272727272727273	11	Line 5	206.8
0.285714285714286	7	Line 1	203.716666666667
0.285714285714286	7	Line 2	202.982456140351
0.285714285714286	7	Line 3	243
0.285714285714286	7	Line 4	214.263157894737
0.285714285714286	7	Line 5	221.189189189189
0.285714285714286	14	Line 1	200.632653061224
0.285714285714286	14	Line 2	200.474576271186
0.285714285714286	14	Line 3	184.314285714286
0.285714285714286	14	Line 4	195.589285714286
0.285714285714286	14	Line 5	206.769230769231
0.3	10	Line 1	196.012345679012
0.3	10	Line 2	192.75
0.3	10	Line 3	216.163265306122
0.3	10	Line 4	195.033333333333
0.3	10	Line 5	202.576923076923
0.307692307692308	13	Line 1	189.783783783784
0.307692307692308	13	Line 2	187.85
0.307692307692308	13	Line 3	189.583333333333
0.307692307692308	13	Line 4	191.725806451613
0.307692307692308	13	Line 5	200.055555555556
0.333333333333333	6	Line 1	233.518518518519
