item.id;sentence;word.serial.no;word.id;morph.structure;number.morphemes;morphemes;stress.pos;stress.pos.syl;has.stress.variant;form.suff
1;На болотах оставался ещё лёд, но на берегах реки появилась трава.;1;На;(-на- (корень));1;(-на- (корень));2;1;;()
;;2;болотах;(-болот- (корень), -ах (окончание));2;(-болот- (корень), -ах (окончание));4;2;;()
;;3;оставался;(-ся (постфикс), -остава- (корень), -л (суффикс));3;(-ся (постфикс), -остава- (корень), -л (суффикс));6;3;;(-л (суффикс))
;;4;ещё;(-ещё- (корень));1;(-ещё- (корень));3;2;;()
;;5;лёд;(-лёд- (корень));1;(-лёд- (корень));2;1;;()
;;6;но;(-но- (корень));1;(-но- (корень));2;1;;()
;;7;на;(-на- (корень));1;(-на- (корень));2;1;;()
;;8;берегах;(-берег- (корень), -ах (окончание));2;(-берег- (корень), -ах (окончание));6;3;;()
;;9;реки;(-рек- (корень), -и (окончание));2;(-рек- (корень), -и (окончание));4;2;1;()
;;10;появилась;(-сь(постфикс), по- (приставка), -яв- (корень), -и (суффикс), -л (суффикс), -а (окончание));6;(-сь(постфикс), по- (приставка), -яв- (корень), -и (суффикс), -л (суффикс), -а (окончание));5;3;;(-и (суффикс), -л (суффикс))
;;11;трава;(-трав- (корень), -а (окончание));2;(-трав- (корень), -а (окончание));5;2;;()
2;Он ловко поддел концом ножа замочки, и они отскочили.;12;он;(-он- (корень));1;(-он- (корень));1;1;;()
;;13;ловко;(-о (суффикс), -к (суффикс),  -лов- (корень));3;(-о (суффикс), -к (суффикс),  -лов- (корень));2;1;;()
;;14;поддел;(под- (приставка), -л (суффикс), -де- (корень));3;(под- (приставка), -л (суффикс), -де- (корень));5;2;;(-л (суффикс))
;;15;концом;(-конц- (корень), -ом (окончание));2;(-конц- (корень), -ом (окончание));5;2;;()
;;16;ножа;(-нож- (корень), -а (окончание));2;(-нож- (корень), -а (окончание));4;2;;()
;;17;замочки;(-к (суффикс), -замоч- (корень), -и (окончание));3;(-к (суффикс), -замоч- (корень), -и (окончание));4;2;;()
;;18;и;(-и- (корень));1;(-и- (корень));1;1;;()
;;19;они;(-он- (корень), -и (окончание));2;(-он- (корень), -и (окончание));3;2;;()
;;20;отскочили;(от- (приставка), -л (суффикс), -и (суффикс), -скоч- (корень), -и (окончание));5;(от- (приставка), -л (суффикс), -и (суффикс), -скоч- (корень), -и (окончание));7;3;;(-л (суффикс), -и (суффикс))
3;Ваня раскрыл было рот, но понял, что что-то не так, и промолчал.;21;ваня;(-ван- (корень), -я (окончание));2;(-ван- (корень), -я (окончание));2;1;;()
;;22;раскрыл;(рас- (приставка), -л (суффикс), -кры- (корень));3;(рас- (приставка), -л (суффикс), -кры- (корень));6;2;;(-л (суффикс))
;;23;было;(-л (суффикс), -бы- (корень), -о (окончание));3;(-л (суффикс), -бы- (корень), -о (окончание));2;1;;(-л (суффикс))
;;24;рот;(-рот- (корень));1;(-рот- (корень));2;1;;()
;;25;но;(-но- (корень));1;(-но- (корень));2;1;;()
;;26;понял;(-л (суффикс), -поня- (корень));2;(-л (суффикс), -поня- (корень));2;1;;(-л (суффикс))
;;27;что;(-что- (корень));1;(-что- (корень));3;1;;()
;;28;что-то;(-то (постфикс), -что- (корень)-);2;(-то (постфикс), -что- (корень)-);3;1;;()
;;29;не;(-не- (корень));1;(-не- (корень));2;1;;()
;;30;так;(-так- (корень));1;(-так- (корень));2;1;;()
;;31;и;(-и- (корень));1;(-и- (корень));1;1;;()
;;32;промолчал;(про- (приставка), -л (суффикс), -а (суффикс), -молч- (корень));4;(про- (приставка), -л (суффикс), -а (суффикс), -молч- (корень));8;3;;(-л (суффикс), -а (суффикс))
