"ID"	"gender"	"age"	"comment"
1	"f"	19	
2	"f"	19	"глаза ""жгло"" от белого фона. Испытуемый был в очках"
3	"f"	20	"душно"
4	"f"	21	"слишком белый фон, много орфографических ошибок"
5	"f"	20	"душно, глаза уставали"
7	"f"	18	"очень долгая калибровка, помогло изменение положения подставки, стула и наклона камеры"
8	"m"	21	"устал"
9	"f"	20	"сделать цвет предложений ярче"
10	"m"	20	"поменять шрифт"
11	"m"	20	"все хорошо"
12	"f"	21	"все хорошо"
13	"f"	20	"понравился эксперимент, изменить шрифт, очень душно, вода"
14	"f"	21	
15	"f"	18	"шрифт пожирнее"
16	"m"	25	"все хорошо"
18	"f"	17	"все хорошо"
19	"f"	19	"вопрос про филфак некорректный, уменьшить количество калибровок"
20	"f"	19	"неудобно читать шрифт"
21	"m"	19	
22	"f"	20	"низкие брови, трудно было настроить"
23	"f"	20	"добавить сообщение об окончании эксперимента"
24	"f"	18	"все хорошо"
25	"f"	18	
26	"f"	19	"проблемы с калибровской"
27	"f"	18	"все хорошо"
28	"f"	18	
29	"f"	22	"линзы, калибровка шла очень плохо. Помогли капли и отдых"
30	"f"	30	
31	"f"	25	"из-за линз иногда плохо шла калибровка"
32	"m"	21	
33	"f"	19	"все хорошо"
34	"f"	18	"быстро и без проблем"
35	"f"	21	"яркий экран"
36	"f"	24	"долгая калибровка, пришлось настраивать на левый глаз, т.к. Он лучше видит"
37	"f"	21	
38	"f"	33	"долгая калибровка из-за линз, яркий экран"
39	"f"	18	
40	"m"	18	"в середине эксперимента пошла кровь из носа"
41	"f"	20	
42	"f"	19	
43	"f"	20	"долгая калибровка из-за линз"
44	"f"	21	
45	"f"	20	
46	"f"	19	"душно"
47	"m"	18	"утомительно"
48	"f"	16	"пришлось стереть макияж"
49	"f"	16	"все интересно"
50	"f"	17	
51	"f"	19	
52	"f"	28	
53	"m"	23	
54	"f"	21	
55	"f"	22	
56	"f"	27	"результаты очень интересуют"
57	"f"	26	
58	"m"	24	
59	"m"	31	
60	"f"	19	
61	"m"	19	
62	"m"	25	
63	"f"	18	
64	"f"	18	
65	"m"	46	
66	"f"	41	
67	"f"	30	"белый фон непривычен"
68	"m"	30	
69	"m"	18	"скучные вопросы"
70	"m"	19	
71	"m"	18	"вкусные вафли"
72	"f"	25	"долгая калибровка"
73	"f"	25	"долгая калибровка"
74	"m"	25	"сделать фон и шрифт темнее"
75	"m"	19	
76	"m"	21	
77	"m"	19	
78	"f"	17	
80	"f"	24	
83	"f"	65	"№1 жирный for old"
84	"f"	80	
85	"f"	29	
87	"f"	18	
88	"m"	28	
89	"m"	28	
90	"f"	27	
91	"m"	24	
94	"m"	28	
96	"f"	27	"все хорошо"
97	"m"	24	"все ок"
98	"f"	30	"все ок"
99	"f"	34	
100	"m"	26	
101	"f"	32	"понравилось, очень интересно"
102	"m"	39	"была проблема с калибровской (правыый верхний угол), но в результате все хорошо"
103	"f"	36	
104	"f"	17	
105	"f"	36	"были проблемы с калибровской из-за линз, но эксперимент прошла до конца"
106	"f"	39	"все хорошо"
107	"f"	52	"долгая калибровка"
109	"f"	19	
110	"f"	19	
111	"f"	21	
112	"m"	21	"смутило ""манная крупа"""
