Year,Count
2025,115
2024,151
2023,159
2022,157
2021,172
2020,171
2019,162
2018,192
2017,170
2016,171
2015,154
2014,164
2013,193
2012,160
2011,125
2010,97
2009,139
2008,114
2007,94
2006,92
2005,85
2004,63
2003,58
2002,52
2001,45
2000,49
1999,49
1998,42
1997,25
1996,33
1995,29
1994,24
1993,36
1992,29
1991,18
1990,30
1989,27
1988,18
1987,23
1986,23
1985,30
1984,34
1983,22
1982,15
1981,18
1980,14
1979,20
1978,14
1977,10
1976,10
1975,15
1974,14
1973,10
1972,17
1971,7
1970,7
1969,7
1968,4
1967,5
1966,7
1965,1
1964,5
1963,2
1962,2
1959,1
1958,1
1957,1
1956,2
1955,1
1953,1
1951,1
1949,1
1947,1
1946,2
1934,1
