"","char","letter","x1","y1","x2","y2","space","sent","line","word","word_line","line_char","wordID","char_word"
"1",0,"T",200,512,216,595,NA,1,1,1,1,1,"The",1
"3",1,"h",216,512,232,595,NA,1,1,1,1,2,"The",2
"5",2,"e",232,512,248,595,NA,1,1,1,1,3,"The",3
"7",3,"",248,512,264,595,1,1,1,2,2,4,"villagers",0
"9",4,"v",264,512,280,595,NA,1,1,2,2,5,"villagers",1
"11",5,"i",280,512,296,595,NA,1,1,2,2,6,"villagers",2
"13",6,"l",296,512,312,595,NA,1,1,2,2,7,"villagers",3
"15",7,"l",312,512,328,595,NA,1,1,2,2,8,"villagers",4
"17",8,"a",328,512,344,595,NA,1,1,2,2,9,"villagers",5
"19",9,"g",344,512,360,595,NA,1,1,2,2,10,"villagers",6
"21",10,"e",360,512,376,595,NA,1,1,2,2,11,"villagers",7
"23",11,"r",376,512,392,595,NA,1,1,2,2,12,"villagers",8
"25",12,"s",392,512,408,595,NA,1,1,2,2,13,"villagers",9
"27",13,"",408,512,424,595,1,1,1,3,3,14,"were",0
"29",14,"w",424,512,440,595,NA,1,1,3,3,15,"were",1
"31",15,"e",440,512,456,595,NA,1,1,3,3,16,"were",2
"33",16,"r",456,512,472,595,NA,1,1,3,3,17,"were",3
"35",17,"e",472,512,488,595,NA,1,1,3,3,18,"were",4
"37",18,"",488,512,504,595,1,1,1,4,4,19,"awoken",0
"39",19,"a",504,512,520,595,NA,1,1,4,4,20,"awoken",1
"41",20,"w",520,512,536,595,NA,1,1,4,4,21,"awoken",2
"43",21,"o",536,512,552,595,NA,1,1,4,4,22,"awoken",3
"45",22,"k",552,512,568,595,NA,1,1,4,4,23,"awoken",4
"47",23,"e",568,512,584,595,NA,1,1,4,4,24,"awoken",5
"49",24,"n",584,512,600,595,NA,1,1,4,4,25,"awoken",6
"51",25,"",600,512,616,595,1,1,1,5,5,26,"by",0
"53",26,"b",616,512,632,595,NA,1,1,5,5,27,"by",1
"55",27,"y",632,512,648,595,NA,1,1,5,5,28,"by",2
"57",28,"",648,512,664,595,1,1,1,6,6,29,"the",0
"59",29,"t",664,512,680,595,NA,1,1,6,6,30,"the",1
"61",30,"h",680,512,696,595,NA,1,1,6,6,31,"the",2
"63",31,"e",696,512,712,595,NA,1,1,6,6,32,"the",3
"65",32,"",712,512,728,595,1,1,1,7,7,33,"sound",0
"67",33,"s",728,512,744,595,NA,1,1,7,7,34,"sound",1
"69",34,"o",744,512,760,595,NA,1,1,7,7,35,"sound",2
"71",35,"u",760,512,776,595,NA,1,1,7,7,36,"sound",3
"73",36,"n",776,512,792,595,NA,1,1,7,7,37,"sound",4
"75",37,"d",792,512,808,595,NA,1,1,7,7,38,"sound",5
"77",38,"",808,512,824,595,1,1,1,8,8,39,"of",0
"79",39,"o",824,512,840,595,NA,1,1,8,8,40,"of",1
"81",40,"f",840,512,856,595,2,1,1,8,8,41,"of",2
"83",41,"d",200,596,216,679,NA,1,2,9,1,1,"dogs",1
"85",42,"o",216,596,232,679,NA,1,2,9,1,2,"dogs",2
"87",43,"g",232,596,248,679,NA,1,2,9,1,3,"dogs",3
"89",44,"s",248,596,264,679,NA,1,2,9,1,4,"dogs",4
"91",45,"",264,596,280,679,1,1,2,10,2,5,"barking",0
"93",46,"b",280,596,296,679,NA,1,2,10,2,6,"barking",1
"95",47,"a",296,596,312,679,NA,1,2,10,2,7,"barking",2
"97",48,"r",312,596,328,679,NA,1,2,10,2,8,"barking",3
"99",49,"k",328,596,344,679,NA,1,2,10,2,9,"barking",4
"101",50,"i",344,596,360,679,NA,1,2,10,2,10,"barking",5
"103",51,"n",360,596,376,679,NA,1,2,10,2,11,"barking",6
"105",52,"g",376,596,392,679,NA,1,2,10,2,12,"barking",7
"107",53,"",392,596,408,679,1,1,2,11,3,13,"somewhere",0
"109",54,"s",408,596,424,679,NA,1,2,11,3,14,"somewhere",1
"111",55,"o",424,596,440,679,NA,1,2,11,3,15,"somewhere",2
"113",56,"m",440,596,456,679,NA,1,2,11,3,16,"somewhere",3
"115",57,"e",456,596,472,679,NA,1,2,11,3,17,"somewhere",4
"117",58,"w",472,596,488,679,NA,1,2,11,3,18,"somewhere",5
"119",59,"h",488,596,504,679,NA,1,2,11,3,19,"somewhere",6
"121",60,"e",504,596,520,679,NA,1,2,11,3,20,"somewhere",7
"123",61,"r",520,596,536,679,NA,1,2,11,3,21,"somewhere",8
"125",62,"e",536,596,552,679,NA,1,2,11,3,22,"somewhere",9
"127",63,"",552,596,568,679,1,1,2,12,4,23,"in",0
"129",64,"i",568,596,584,679,NA,1,2,12,4,24,"in",1
"131",65,"n",584,596,600,679,NA,1,2,12,4,25,"in",2
"133",66,"",600,596,616,679,1,1,2,13,5,26,"the",0
"135",67,"t",616,596,632,679,NA,1,2,13,5,27,"the",1
"137",68,"h",632,596,648,679,NA,1,2,13,5,28,"the",2
"139",69,"e",648,596,664,679,NA,1,2,13,5,29,"the",3
"141",70,"",664,596,680,679,1,1,2,14,6,30,"distance.",0
"143",71,"d",680,596,696,679,NA,1,2,14,6,31,"distance.",1
"145",72,"i",696,596,712,679,NA,1,2,14,6,32,"distance.",2
"147",73,"s",712,596,728,679,NA,1,2,14,6,33,"distance.",3
"149",74,"t",728,596,744,679,NA,1,2,14,6,34,"distance.",4
"151",75,"a",744,596,760,679,NA,1,2,14,6,35,"distance.",5
"153",76,"n",760,596,776,679,NA,1,2,14,6,36,"distance.",6
"155",77,"c",776,596,792,679,NA,1,2,14,6,37,"distance.",7
"157",78,"e",792,596,808,679,NA,1,2,14,6,38,"distance.",8
"159",79,".",808,596,824,679,2,1,2,14,6,39,"distance.",9
