PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28816481","Individuals' eye movements in reading are highly consistent across time and trial","Carter BT, Luke SG.","J Exp Psychol Hum Percept Perform. 2018 Mar;44(3):482-492. doi: 10.1037/xhp0000471. Epub 2017 Aug 17.","Carter BT","J Exp Psychol Hum Percept Perform","2018","2017/08/18","","","10.1037/xhp0000471"
"26605961","Universality in eye movements and reading: A trilingual investigation","Liversedge SP, Drieghe D, Li X, Yan G, Bai X, Hyönä J.","Cognition. 2016 Feb;147:1-20. doi: 10.1016/j.cognition.2015.10.013. Epub 2015 Nov 19.","Liversedge SP","Cognition","2016","2015/11/26","","","10.1016/j.cognition.2015.10.013"
"26762122","Eye Movements and Articulations During a Letter Naming Speed Task","Al Dahhan NZ, Kirby JR, Brien DC, Munoz DP.","J Learn Disabil. 2017 May/Jun;50(3):275-285. doi: 10.1177/0022219415618502. Epub 2016 Aug 3.","Al Dahhan NZ","J Learn Disabil","2017","2016/01/15","","","10.1177/0022219415618502"
"30535580","Referential processing during reading: concurrent recordings of eye movements and head motion","Ballenghein U, Baccino T.","Cogn Process. 2019 Aug;20(3):371-384. doi: 10.1007/s10339-018-0894-1. Epub 2018 Dec 10.","Ballenghein U","Cogn Process","2019","2018/12/12","","","10.1007/s10339-018-0894-1"
"30394390","Eye-tracking to Distinguish Comprehension-based and Oculomotor-based Regressive Eye Movements During Reading","Folk JR, Eskenazi MA.","J Vis Exp. 2018 Oct 18;(140):58442. doi: 10.3791/58442.","Folk JR","J Vis Exp","2018","2018/11/06","PMC6235565","","10.3791/58442"
"30349058","Pattern of reading eye movements during monovision contact lens wear in presbyopes","Zeri F, Naroo SA, Zoccolotti P, De Luca M.","Sci Rep. 2018 Oct 22;8(1):15574. doi: 10.1038/s41598-018-33934-6.","Zeri F","Sci Rep","2018","2018/10/24","PMC6197269","","10.1038/s41598-018-33934-6"
"21915693","Eye movements and brain electric potentials during reading","Kliegl R, Dambacher M, Dimigen O, Jacobs AM, Sommer W.","Psychol Res. 2012 Mar;76(2):145-58. doi: 10.1007/s00426-011-0376-x. Epub 2011 Sep 14.","Kliegl R","Psychol Res","2012","2011/09/15","","","10.1007/s00426-011-0376-x"
"31477388","Eye Movements and Comprehension Are Important to Reading","Schotter ER, Payne BR.","Trends Cogn Sci. 2019 Oct;23(10):811-812. doi: 10.1016/j.tics.2019.06.005. Epub 2019 Aug 30.","Schotter ER","Trends Cogn Sci","2019","2019/09/04","","","10.1016/j.tics.2019.06.005"
"29504830","Preliminary Study: Impact of Strabismus and Surgery on Eye Movements When Children are Reading","Perrin Fievez F, Lions C, Bucci MP.","Strabismus. 2018 Jun;26(2):96-104. doi: 10.1080/09273972.2018.1445761. Epub 2018 Mar 5.","Perrin Fievez F","Strabismus","2018","2018/03/06","","","10.1080/09273972.2018.1445761"
"27137836","Child readers' eye movements in reading Thai","Kasisopa B, Reilly RG, Luksaneeyanawin S, Burnham D.","Vision Res. 2016 Jun;123:8-19. doi: 10.1016/j.visres.2015.07.009. Epub 2016 May 12.","Kasisopa B","Vision Res","2016","2016/05/04","","","10.1016/j.visres.2015.07.009"
"26866589","Eye movements and the perceptual span during first- and second-language sentence reading in bilingual older adults","Whitford V, Titone D.","Psychol Aging. 2016 Feb;31(1):58-70. doi: 10.1037/a0039971.","Whitford V","Psychol Aging","2016","2016/02/12","","","10.1037/a0039971"
"29800793","Do eye movements reveal differences between monolingual and bilingual children's first-language and second-language reading? A focus on word frequency effects","Whitford V, Joanisse MF.","J Exp Child Psychol. 2018 Sep;173:318-337. doi: 10.1016/j.jecp.2018.03.014. Epub 2018 May 23.","Whitford V","J Exp Child Psychol","2018","2018/05/26","","","10.1016/j.jecp.2018.03.014"
"27032427","Adult Age Differences in Eye Movements During Reading: The Evidence From Chinese","Wang J, Li L, Li S, Xie F, Chang M, Paterson KB, White SJ, McGowan VA.","J Gerontol B Psychol Sci Soc Sci. 2018 Apr 16;73(4):584-593. doi: 10.1093/geronb/gbw036.","Wang J","J Gerontol B Psychol Sci Soc Sci","2018","2016/04/02","PMC6019021","","10.1093/geronb/gbw036"
"30176340","Eye movement and postural sway in dyslexic children during sitting and standing","Razuk M, Barela JA, Peyre H, Gerard CL, Bucci MP.","Neurosci Lett. 2018 Nov 1;686:53-58. doi: 10.1016/j.neulet.2018.08.042. Epub 2018 Aug 31.","Razuk M","Neurosci Lett","2018","2018/09/04","","","10.1016/j.neulet.2018.08.042"
"30298615","Eye movements during reading in Parkinson's disease: A pilot study","Waldthaler J, Tsitsi P, Seimyr GÖ, Benfatto MN, Svenningsson P.","Mov Disord. 2018 Oct;33(10):1661-1662. doi: 10.1002/mds.105. Epub 2018 Oct 8.","Waldthaler J","Mov Disord","2018","2018/10/10","","","10.1002/mds.105"
"22361955","Eye movements and the perceptual span in silent and oral reading","Ashby J, Yang J, Evans KH, Rayner K.","Atten Percept Psychophys. 2012 May;74(4):634-40. doi: 10.3758/s13414-012-0277-0.","Ashby J","Atten Percept Psychophys","2012","2012/02/25","","","10.3758/s13414-012-0277-0"
"24723032","Eye movements of university students with and without reading difficulties during naming speed tasks","Al Dahhan N, Georgiou GK, Hung R, Munoz D, Parrila R, Kirby JR.","Ann Dyslexia. 2014 Jul;64(2):137-50. doi: 10.1007/s11881-013-0090-z. Epub 2014 Apr 11.","Al Dahhan N","Ann Dyslexia","2014","2014/04/12","","","10.1007/s11881-013-0090-z"
"23956456","Saccadic and smooth-pursuit eye movements during reading of drifting texts","Valsecchi M, Gegenfurtner KR, Schütz AC.","J Vis. 2013 Aug 16;13(10):8. doi: 10.1167/13.10.8.","Valsecchi M","J Vis","2013","2013/08/20","","","10.1167/13.10.8"
"21744985","Coregistration of eye movements and EEG in natural reading: analyses and review","Dimigen O, Sommer W, Hohlfeld A, Jacobs AM, Kliegl R.","J Exp Psychol Gen. 2011 Nov;140(4):552-72. doi: 10.1037/a0023885.","Dimigen O","J Exp Psychol Gen","2011","2011/07/13","","","10.1037/a0023885"
"29389187","Fluctuation in cognitive engagement during reading: Evidence from concurrent recordings of postural and eye movements","Kaakinen JK, Ballenghein U, Tissier G, Baccino T.","J Exp Psychol Learn Mem Cogn. 2018 Oct;44(10):1671-1677. doi: 10.1037/xlm0000539. Epub 2018 Feb 1.","Kaakinen JK","J Exp Psychol Learn Mem Cogn","2018","2018/02/02","","","10.1037/xlm0000539"
"21205259","Eye movements and poor reading: does the Developmental Eye Movement test measure cause or effect?","Medland C, Walter H, Woodhouse JM.","Ophthalmic Physiol Opt. 2010 Nov;30(6):740-7. doi: 10.1111/j.1475-1313.2010.00779.x.","Medland C","Ophthalmic Physiol Opt","2010","2011/01/06","","","10.1111/j.1475-1313.2010.00779.x"
"30080066","OB1-reader: A model of word recognition and eye movements in text reading","Snell J, van Leipsig S, Grainger J, Meeter M.","Psychol Rev. 2018 Nov;125(6):969-984. doi: 10.1037/rev0000119. Epub 2018 Aug 6.","Snell J","Psychol Rev","2018","2018/08/07","","","10.1037/rev0000119"
"31524433","Word frequency, predictability, and return-sweep saccades: Towards the modeling of eye movements during paragraph reading","Parker AJ, Slattery TJ.","J Exp Psychol Hum Percept Perform. 2019 Dec;45(12):1614-1633. doi: 10.1037/xhp0000694. Epub 2019 Sep 16.","Parker AJ","J Exp Psychol Hum Percept Perform","2019","2019/09/17","","","10.1037/xhp0000694"
"29696594","Using eye movements to understand the leakage of information during Chinese reading","Liu Y, Reichle ED.","Psychon Bull Rev. 2018 Dec;25(6):2323-2329. doi: 10.3758/s13423-018-1475-0.","Liu Y","Psychon Bull Rev","2018","2018/04/27","PMC6202280","NIHMS963144","10.3758/s13423-018-1475-0"
"30024266","Contributions of reader- and text-level characteristics to eye-movement patterns during passage reading","Kuperman V, Matsuki K, Van Dyke JA.","J Exp Psychol Learn Mem Cogn. 2018 Nov;44(11):1687-1713. doi: 10.1037/xlm0000547. Epub 2018 Jul 19.","Kuperman V","J Exp Psychol Learn Mem Cogn","2018","2018/07/20","PMC6234076","NIHMS948589","10.1037/xlm0000547"
"25687832","Eye movements during the handwriting of words: Individually and within sentences","Sita JC, Taylor KA.","Hum Mov Sci. 2015 Oct;43:229-38. doi: 10.1016/j.humov.2015.01.011. Epub 2015 Feb 14.","Sita JC","Hum Mov Sci","2015","2015/02/18","","","10.1016/j.humov.2015.01.011"
"20679524","Eye movements during mindless reading","Reichle ED, Reineberg AE, Schooler JW.","Psychol Sci. 2010 Sep;21(9):1300-10. doi: 10.1177/0956797610378686. Epub 2010 Aug 2.","Reichle ED","Psychol Sci","2010","2010/08/04","","","10.1177/0956797610378686"
